,BER
0,0.2461875
1,0.2298046875
2,0.2125859375
3,0.1979375
4,0.1787734375
5,0.1636875
6,0.146609375
7,0.1298359375
8,0.1152421875
9,0.10134375
10,0.0895703125
11,0.078515625
12,0.070765625
13,0.0670078125
14,0.061359375
15,0.0552734375
