,BER
0,0.24875
1,0.23303125
2,0.21078125
3,0.1978046875
4,0.1788359375
5,0.165421875
6,0.1484296875
7,0.13440625
8,0.124421875
9,0.111828125
10,0.1042265625
11,0.097453125
12,0.0888828125
13,0.0840078125
14,0.0791328125
15,0.07740625
