,BER
0,0.158546875
1,0.141484375
2,0.1239375
3,0.106109375
4,0.088625
5,0.074375
6,0.0621875
7,0.05365625
8,0.0421875
9,0.036484375
10,0.028640625
11,0.027
12,0.0235
13,0.02040625
14,0.017703125
15,0.02040625
