,BER
0,0.2491328125
1,0.232609375
2,0.216953125
3,0.200140625
4,0.1834296875
5,0.167140625
6,0.152546875
7,0.1374296875
8,0.1231875
9,0.11428125
10,0.1030078125
11,0.0944375
12,0.0880703125
13,0.0810390625
14,0.080921875
15,0.07371875
