,BER
0,0.24771875
1,0.2306484375
2,0.2145703125
3,0.2023515625
4,0.186140625
5,0.1678984375
6,0.1536875
7,0.13890625
8,0.12690625
9,0.11528125
10,0.104609375
11,0.0946796875
12,0.08665625
13,0.08190625
14,0.07559375
15,0.0703515625
