,BER
0,0.189890625
1,0.178203125
2,0.165875
3,0.1570625
4,0.149078125
5,0.140703125
6,0.1356875
7,0.13171875
8,0.128953125
9,0.126296875
10,0.125015625
11,0.120171875
12,0.121375
13,0.115515625
14,0.117640625
15,0.118484375
