,BER
0,0.1584375
1,0.1404375
2,0.1228125
3,0.1058125
4,0.090421875
5,0.074375
6,0.062015625
7,0.0501875
8,0.041484375
9,0.033359375
10,0.028625
11,0.02275
12,0.020359375
13,0.0175625
14,0.01553125
15,0.014109375
