,BER
0,0.163234375
1,0.14215625
2,0.121359375
3,0.10634375
4,0.092515625
5,0.08021875
6,0.064125
7,0.0555625
8,0.04334375
9,0.03540625
10,0.030640625
11,0.026171875
12,0.024
13,0.0245625
14,0.023
15,0.0248125
