,BER
0,0.191140625
1,0.171078125
2,0.1518125
3,0.13421875
4,0.118171875
5,0.104796875
6,0.092703125
7,0.084453125
8,0.07603125
9,0.066921875
10,0.063578125
11,0.0591875
12,0.05475
13,0.055546875
14,0.053015625
15,0.05096875
