,BER
0,0.20059375
1,0.185671875
2,0.170734375
3,0.154265625
4,0.14590625
5,0.1369375
6,0.1240625
7,0.119703125
8,0.1131875
9,0.108140625
10,0.10225
11,0.098375
12,0.098296875
13,0.0955625
14,0.09371875
15,0.092140625
