,BER
0,0.245359375
1,0.2317890625
2,0.2182734375
3,0.20090625
4,0.1874296875
5,0.1744375
6,0.1627890625
7,0.1526640625
8,0.1428828125
9,0.134296875
10,0.127171875
11,0.123421875
12,0.112828125
13,0.1059140625
14,0.104734375
15,0.0995390625
