,BER
0,0.247
1,0.2332734375
2,0.2181015625
3,0.204828125
4,0.190203125
5,0.1753984375
6,0.1586953125
7,0.1495859375
8,0.1342890625
9,0.1227109375
10,0.1146875
11,0.1049375
12,0.095984375
13,0.0891015625
14,0.0840078125
15,0.0793984375
