,BER
0,0.246796875
1,0.2315078125
2,0.2162109375
3,0.2008828125
4,0.186796875
5,0.172609375
6,0.1592109375
7,0.1473671875
8,0.137046875
9,0.124984375
10,0.1165625
11,0.109828125
12,0.1021484375
13,0.0988359375
14,0.0920625
15,0.088921875
