,BER
0,0.1938125
1,0.170484375
2,0.14753125
3,0.1293125
4,0.1115
5,0.096671875
6,0.081765625
7,0.069015625
8,0.058953125
9,0.053265625
10,0.045359375
11,0.039984375
12,0.035765625
13,0.03428125
14,0.032796875
15,0.03003125
